bank,rating,sentiment_score
BOA,1,-0.11994317145179212
BOA,2,0.06152069920819921
BOA,3,0.13164862914862915
BOA,4,0.3285254329004329
BOA,5,0.41543746693378386
CBE,1,-0.07059183498017338
CBE,2,0.1193149250440917
CBE,3,0.08820188492063491
CBE,4,0.2674881796690307
CBE,5,0.36994874199912997
Dashen,1,-0.11994317145179212
Dashen,2,0.06152069920819921
Dashen,3,0.13164862914862915
Dashen,4,0.3285254329004329
Dashen,5,0.41543746693378386
